Spellbook,Level,School,Spell,Copied By
The Apotheosis Codex,1,Conjuration,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:ice-knife"",""Ice Knife"")",
The Apotheosis Codex,1,Enchantment,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:id-insinuation"",""Id Insinuation"")",
The Apotheosis Codex,1,Divination,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:identify"",""Identify"")",
The Apotheosis Codex,1,Illusion,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:illusory-script"",""Illusory Script"")",
The Apotheosis Codex,1,Divination,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:infallible-relay"",""Infallible Relay"")",
The Apotheosis Codex,1,Evocation,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:jims-magic-missile"",""Jim's Magic Missile"")",
The Apotheosis Codex,1,Transmutation,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:jump"",""Jump"")",
The Apotheosis Codex,1,Transmutation,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:longstrider"",""Longstrider"")",
The Apotheosis Codex,1,Abjuration,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:mage-armor"",""Mage Armor"")",
The Apotheosis Codex,1,Evocation,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:magic-missile"",""Magic Missile"")",
The Apotheosis Codex,1,Transmutation,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:magnify-gravity"",""Magnify Gravity"")",
The Apotheosis Codex,1,Abjuration,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:protection-from-evil-and-good"",""Protection from Evil and Good"")",
The Apotheosis Codex,1,Enchantment,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:puppet"",""Puppet"")",
The Apotheosis Codex,1,Necromancy,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:ray-of-sickness"",""Ray of Sickness"")",
The Apotheosis Codex,1,Transmutation,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:remote-access"",""Remote Access"")",
The Apotheosis Codex,1,Divination,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:sense-emotion"",""Sense Emotion"")",
The Apotheosis Codex,1,Abjuration,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:shield"",""Shield"")",
The Apotheosis Codex,1,Illusion,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:silent-image"",""Silent Image"")",
The Apotheosis Codex,1,Enchantment,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:silvery-barbs"",""Silvery Barbs"")",
The Apotheosis Codex,1,Enchantment,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:sleep"",""Sleep"")",
The Apotheosis Codex,1,Abjuration,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:snare"",""Snare"")",
The Apotheosis Codex,1,Enchantment,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:sudden-awakening"",""Sudden Awakening"")",
The Apotheosis Codex,1,Evocation,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:tashas-caustic-brew"",""Tasha's Caustic Brew"")",
The Apotheosis Codex,1,Enchantment,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:tashas-hideous-laughter"",""Tasha's Hideous Laughter"")",
The Apotheosis Codex,1,Conjuration,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:tensers-floating-disk"",""Tenser's Floating Disk"")",
The Apotheosis Codex,1,Evocation,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:thunderwave"",""Thunderwave"")",
The Apotheosis Codex,1,Conjuration,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:unseen-servant"",""Unseen Servant"")",
The Apotheosis Codex,1,Evocation,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:witch-bolt"",""Witch Bolt"")",
The Apotheosis Codex,2,Evocation,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:aganazzars-scorcher"",""Aganazzar's Scorcher"")",
The Apotheosis Codex,2,Conjuration,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:air-bubble"",""Air Bubble"")",
The Apotheosis Codex,2,Transmutation,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:alter-self"",""Alter Self"")",
The Apotheosis Codex,2,Abjuration,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:arcane-lock"",""Arcane Lock"")",
The Apotheosis Codex,2,Divination,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:augury"",""Augury"")",
The Apotheosis Codex,2,Necromancy,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:blindness-deafness"",""Blindness/Deafness"")",
The Apotheosis Codex,2,Illusion,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:blur"",""Blur"")",
The Apotheosis Codex,2,Divination,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:borrowed-knowledge"",""Borrowed Knowledge"")",
The Apotheosis Codex,2,Conjuration,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:cloud-of-daggers"",""Cloud of Daggers"")",
The Apotheosis Codex,2,Evocation,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:continual-flame"",""Continual Flame"")",
The Apotheosis Codex,2,Enchantment,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:crown-of-madness"",""Crown of Madness"")",
The Apotheosis Codex,2,Evocation,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:darkness"",""Darkness"")",
The Apotheosis Codex,2,Transmutation,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:darkvision"",""Darkvision"")",
The Apotheosis Codex,2,Divination,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:detect-thoughts"",""Detect Thoughts"")",
The Apotheosis Codex,2,Transmutation,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:dragons-breath"",""Dragon's Breath"")",
The Apotheosis Codex,2,Conjuration,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:dust-devil"",""Dust Devil"")",
The Apotheosis Codex,2,Transmutation,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:earthbind"",""Earthbind"")",
The Apotheosis Codex,2,Transmutation,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:enhance-ability"",""Enhance Ability"")",
The Apotheosis Codex,2,Transmutation,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:enlarge-reduce"",""Enlarge/Reduce"")",
The Apotheosis Codex,2,Conjuration,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:find-vehicle"",""Find Vehicle"")",
The Apotheosis Codex,2,Conjuration,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:flaming-sphere"",""Flaming Sphere"")",
The Apotheosis Codex,2,Conjuration,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:flock-of-familiars"",""Flock of Familiars"")",
The Apotheosis Codex,2,Divination,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:fortunes-favor"",""Fortune's Favor"")",
The Apotheosis Codex,2,Necromancy,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:gentle-repose"",""Gentle Repose"")",
The Apotheosis Codex,2,Enchantment,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:gift-of-gab"",""Gift of Gab"")",
The Apotheosis Codex,2,Evocation,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:gust-of-wind"",""Gust of Wind"")",
The Apotheosis Codex,2,Enchantment,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:hold-person"",""Hold Person"")",
The Apotheosis Codex,2,Evocation,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:icingdeaths-frost"",""Icingdeath's Frost"")",
The Apotheosis Codex,2,Transmutation,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:immovable-object"",""Immovable Object"")",
The Apotheosis Codex,2,Illusion,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:invisibility"",""Invisibility"")",
The Apotheosis Codex,2,Enchantment,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:jims-glowing-coin"",""Jim's Glowing Coin"")",
The Apotheosis Codex,2,Transmutation,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:kinetic-jaunt"",""Kinetic Jaunt"")",
The Apotheosis Codex,2,Transmutation,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:knock"",""Knock"")",
The Apotheosis Codex,2,Transmutation,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:levitate"",""Levitate"")",
The Apotheosis Codex,2,Divination,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:locate-object"",""Locate Object"")",
The Apotheosis Codex,2,Illusion,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:magic-mouth"",""Magic Mouth"")",
The Apotheosis Codex,2,Transmutation,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:magic-weapon"",""Magic Weapon"")",
The Apotheosis Codex,2,Transmutation,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:maximillians-earthen-grasp"",""Maximillian's Earthen Grasp"")",
The Apotheosis Codex,2,Evocation,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:melfs-acid-arrow"",""Melf's Acid Arrow"")",
The Apotheosis Codex,2,Divination,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:mind-spike"",""Mind Spike"")",
The Apotheosis Codex,2,Illusion,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:mirror-image"",""Mirror Image"")",
The Apotheosis Codex,2,Conjuration,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:misty-step"",""Misty Step"")",
The Apotheosis Codex,2,Illusion,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:nathairs-mischief"",""Nathair's Mischief"")",
The Apotheosis Codex,2,Illusion,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:nystuls-magic-aura"",""Nystul's Magic Aura"")",
The Apotheosis Codex,2,Illusion,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:phantasmal-force"",""Phantasmal Force"")",
The Apotheosis Codex,2,Transmutation,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:pyrotechnics"",""Pyrotechnics"")",
The Apotheosis Codex,2,Necromancy,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:ray-of-enfeeblement"",""Ray of Enfeeblement"")",
The Apotheosis Codex,2,Evocation,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:rimes-binding-ice"",""Rime's Binding Ice"")",
The Apotheosis Codex,2,Transmutation,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:rope-trick"",""Rope Trick"")",
The Apotheosis Codex,2,Evocation,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:scorching-ray"",""Scorching Ray"")",
The Apotheosis Codex,2,Divination,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:see-invisibility"",""See Invisibility"")",
The Apotheosis Codex,2,Illusion,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:shadow-blade"",""Shadow Blade"")",
The Apotheosis Codex,2,Evocation,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:shatter"",""Shatter"")",
The Apotheosis Codex,2,Transmutation,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:skywrite"",""Skywrite"")",
The Apotheosis Codex,2,Evocation,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:snillocs-snowball-swarm"",""Snilloc's Snowball Swarm"")",
The Apotheosis Codex,2,Transmutation,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:spider-climb"",""Spider Climb"")",
The Apotheosis Codex,2,Conjuration,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:spray-of-cards"",""Spray of Cards"")",
The Apotheosis Codex,2,Enchantment,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:suggestion"",""Suggestion"")",
The Apotheosis Codex,2,Enchantment,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:tashas-mind-whip"",""Tasha's Mind Whip"")",
The Apotheosis Codex,2,Conjuration,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:vortex-warp"",""Vortex Warp"")",
The Apotheosis Codex,2,Evocation,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:warding-wind"",""Warding Wind"")",
The Apotheosis Codex,2,Conjuration,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:web"",""Web"")",
The Apotheosis Codex,2,Necromancy,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:wither-and-bloom"",""Wither and Bloom"")",
The Apotheosis Codex,2,Conjuration,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:wristpocket"",""Wristpocket"")",
The Apotheosis Codex,3,Necromancy,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:animate-dead"",""Animate Dead"")",
The Apotheosis Codex,3,Transmutation,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:blink"",""Blink"")",
The Apotheosis Codex,3,Abjuration,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:counterspell"",""Counterspell"")",
The Apotheosis Codex,3,Abjuration,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:dispel-magic"",""Dispel Magic"")",
The Apotheosis Codex,3,Evocation,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:fireball"",""Fireball"")",
The Apotheosis Codex,3,Abjuration,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:glyph-of-warding"",""Glyph of Warding"")",
The Apotheosis Codex,3,Transmutation,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:haste"",""Haste"")",
The Apotheosis Codex,3,Illusion,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:hypnotic-pattern"",""Hypnotic Pattern"")",
The Apotheosis Codex,3,Necromancy,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:vampiric-touch"",""Vampiric Touch"")",
The Apotheosis Codex,4,Necromancy,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:blight"",""Blight"")",
The Apotheosis Codex,4,Enchantment,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:confusion"",""Confusion"")",
The Apotheosis Codex,4,Conjuration,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:dimension-door"",""Dimension Door"")",
The Apotheosis Codex,4,Transmutation,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:fabricate"",""Fabricate"")",
The Apotheosis Codex,4,Abjuration,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:mordenkainens-private-sanctum"",""Mordenkainen's Private Sanctum"")",
The Apotheosis Codex,4,Evocation,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:sickening-radiance"",""Sickening Radiance"")",
The Apotheosis Codex,4,Evocation,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:wall-of-fire"",""Wall of Fire"")",
The Apotheosis Codex,4,Abjuration,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:gate-seal"",""Gate Seal"")",
The Apotheosis Codex,5,Conjuration,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:cloudkill"",""Cloudkill"")",
The Apotheosis Codex,5,Enchantment,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:hold-monster"",""Hold Monster"")",
The Apotheosis Codex,5,Divination,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:legend-lore"",""Legend Lore"")",
The Apotheosis Codex,5,Enchantment,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:modify-memory"",""Modify Memory"")",
The Apotheosis Codex,5,Conjuration,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:steel-wind-strike"",""Steel Wind Strike"")",
The Apotheosis Codex,5,Enchantment,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:synaptic-static"",""Synaptic Static"")",
The Apotheosis Codex,5,Transmutation,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:telekinesis"",""Telekinesis"")",
The Apotheosis Codex,5,Transmutation,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:transmute-rock"",""Transmute Rock"")",
The Apotheosis Codex,5,Evocation,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:wall-of-force"",""Wall of Force"")",
The Apotheosis Codex,5,Evocation,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:wall-of-stone"",""Wall of Stone"")",
The Apotheosis Codex,6,Necromancy,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:circle-of-death"",""Circle of Death"")",
The Apotheosis Codex,6,Abjuration,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:globe-of-invulnerability"",""Globe of Invulnerability"")",
The Apotheosis Codex,6,Transmutation,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:tashas-otherworldly-guise"",""Tasha's Otherworldly Guise"")",
The Apotheosis Codex,7,Evocation,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:forcecage"",""Forcecage"")",
The Apotheosis Codex,7,Conjuration,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:teleport"",""Teleport"")",
The Apotheosis Codex,8,Conjuration,"=HYPERLINK(""https://dnd5e.wikidot.com/spell:maze"",""Maze"")",
